name,field,branches,cutoff,category,location,Year
IIT Bombay,Engineering,Computer Science Engineering,AIR 67,General,Mumbai Maharashtra,2025
IIT Bombay,Engineering,Electrical Engineering,AIR 460,OBC,Mumbai Maharashtra,2025
IIT Delhi,Engineering,Computer Science Engineering,AIR 118,General,New Delhi Delhi,2025
IIT Delhi,Engineering,Mechanical Engineering,AIR 1800,SC,New Delhi Delhi,2025
IIT Madras,Engineering,Computer Science Engineering,AIR 160,General,Chennai Tamil Nadu,2025
IIT Madras,Engineering,Civil Engineering,AIR 4200,ST,Chennai Tamil Nadu,2025
IIT Kanpur,Engineering,Electrical Engineering,AIR 980,General,Kanpur Uttar Pradesh,2025
IIT Kharagpur,Engineering,Mechanical Engineering,AIR 2100,OBC,Kharagpur West Bengal,2025
NIT Trichy,Engineering,Computer Science Engineering,AIR 720,General,Tiruchirappalli Tamil Nadu,2025
NIT Surathkal,Engineering,Information Technology,AIR 1450,OBC,Surathkal Karnataka,2025
NIT Warangal,Engineering,Computer Science Engineering,AIR 900,General,Warangal Telangana,2025
NIT Warangal,Engineering,Civil Engineering,AIR 5200,SC,Warangal Telangana,2025
VNIT Nagpur,Engineering,Mechanical Engineering,AIR 14500,General,Nagpur Maharashtra,2025
VNIT Nagpur,Engineering,Electronics & Communication,AIR 9800,OBC,Nagpur Maharashtra,2025
NIT Patna,Engineering,Civil Engineering,AIR 28500,SC,Patna Bihar,2025
NIT Raipur,Engineering,Mechanical Engineering,AIR 32000,ST,Raipur Chhattisgarh,2025
IIIT Hyderabad,Engineering,Computer Science Engineering,AIR 980,General,Hyderabad Telangana,2025
IIIT Hyderabad,Engineering,Artificial Intelligence,AIR 1600,OBC,Hyderabad Telangana,2025
IIIT Bangalore,Engineering,Data Science,AIR 1800,General,Bengaluru Karnataka,2025
BIT Mesra,Engineering,Electrical Engineering,AIR 32000,General,Ranchi Jharkhand,2025
Assam University (GFTI),Engineering,Computer Science Engineering,AIR 45000,ST,Silchar Assam,2025
Pondicherry Engineering College,Engineering,Electrical Engineering,AIR 38000,OBC,Puducherry Puducherry,2025
IIT Gandhinagar,Engineering,Computer Science Engineering,AIR 1800,General,Gandhinagar Gujarat,2025
IIT Gandhinagar,Engineering,Mechanical Engineering,AIR 4200,OBC,Gandhinagar Gujarat,2025
IIT Hyderabad,Engineering,Computer Science Engineering,AIR 1300,General,Hyderabad Telangana,2025
IIT Hyderabad,Engineering,Electrical Engineering,AIR 3500,SC,Hyderabad Telangana,2025
IIT Indore,Engineering,Computer Science Engineering,AIR 1600,General,Indore Madhya Pradesh,2025
IIT Indore,Engineering,Mechanical Engineering,AIR 5200,OBC,Indore Madhya Pradesh,2025
IIT Bhubaneswar,Engineering,Computer Science Engineering,AIR 2900,General,Bhubaneswar Odisha,2025
IIT Bhubaneswar,Engineering,Civil Engineering,AIR 7800,ST,Bhubaneswar Odisha,2025
IIT Mandi,Engineering,Computer Science Engineering,AIR 3100,General,Mandi Himachal Pradesh,2025
IIT Mandi,Engineering,Electrical Engineering,AIR 6500,OBC,Mandi Himachal Pradesh,2025
IIT Jodhpur,Engineering,Computer Science Engineering,AIR 2800,General,Jodhpur Rajasthan,2025
IIT Jodhpur,Engineering,Artificial Intelligence,AIR 3600,OBC,Jodhpur Rajasthan,2025
IIT Patna,Engineering,Computer Science Engineering,AIR 3400,General,Patna Bihar,2025
IIT Patna,Engineering,Mechanical Engineering,AIR 7200,SC,Patna Bihar,2025
IIT Tirupati,Engineering,Computer Science Engineering,AIR 4200,General,Tirupati Andhra Pradesh,2025
IIT Tirupati,Engineering,Civil Engineering,AIR 9800,ST,Tirupati Andhra Pradesh,2025
IIT Palakkad,Engineering,Computer Science Engineering,AIR 4400,General,Palakkad Kerala,2025
